Position,Company,Location,URL
[컬리페이] 데브옵스 그룹 리더 (DevOps Leader)의 전체 세부 정보,컬리,서울 강남구,https://kr.indeed.com//rc/clk?jk=65b6aaf32695207b&fccid=84f556ede0522ba3&vjs=3
MedTech Test and Verification Engineer - Work in Sweden의 전체 세부 정보,Iknal Semikan,서울,https://kr.indeed.com//rc/clk?jk=67affa2ddf23725b&fccid=1c1f99bc5683e9f2&vjs=3
Devops 엔지니어 (경력)의 전체 세부 정보,에이에프아이,서울 성동구,https://kr.indeed.com//rc/clk?jk=d38cb3574f745f09&fccid=1a0ca573b9f6ebe5&vjs=3
Junior DevOps Engineer의 전체 세부 정보,Luxoft,서울,https://kr.indeed.com//rc/clk?jk=ba094996c8fd11b0&fccid=4b841d912d46e4fd&vjs=3
DevOps 엔지니어 (5년 이상)의 전체 세부 정보,오픈서베이,서울 강남구,https://kr.indeed.com//rc/clk?jk=92dd5ce932f58c97&fccid=b870e6cebe421a40&vjs=3
[클라우드개발] kubernetes engine 서비스 운영(devops) 및 admin 기능 개발 영입의 전체 세부 정보,카카오엔터프라이즈,성남 분당구,https://kr.indeed.com//rc/clk?jk=3732da4793487453&fccid=e19aa33fc391b310&vjs=3
Solution Engineer (f/m/d)의 전체 세부 정보,Cinemo,서울,https://kr.indeed.com//pagead/clk?mo=r&ad=-6NYlbfkN0CTAsh8Ru9OticM05u2ew1kCblP-Ww8SppjNBtk_iCyYw8o7AvRVFEA5GBRcFBsxZrFEefHPCougCC5l3qV3pa1tFAIQHzsipPvVTTxKCv8xkSjnSPDCwJYMxLy_7OEyCGqNMyF7yRvhLRJwApJVV28baMG6yNweEfUbTERwaihYgn8fiWTyz5Y5mrX1yehN9rW2jNy510IOc5_UxqC9kln8IuRV7PbJwk_ijfOckN2OvbAHunrBebeNBiXEPLVP5fXcZNIGRT227ReouLykJPU4aswIi89xnLh2z2chogr-FA15lSAZyAUyUr61JwR4znV-TxwRstqvgL4SeLRUfgWF7qLPgitV-i7Fw1ooGJ6GfY5CsLj9a1A0UQ5GKActMlJNQU6lGnGTf4eqA4v9a_gVxstzU4XomIB7b3ZQJshHoRL6MRKAN5f85HJXwoVAlujY6DeLFPGkPoXGP71eVcaSufgu7nK7NTcnVLtEDGT9zV4vXqTR3bwN26cdL6GIYe0hsolav09QzCdKSt6taTNCkZ_df52t9Gi8_rUSSB5WQ==&xkcb=SoDj-_M3RHKq3qS55Z0IbzkdCdPP&p=6&fvj=1&vjs=3
[직방] 직방 서비스 DevOps Sr. 개발자(경력 8년 이상)의 전체 세부 정보,직방,서울 종로구,https://kr.indeed.com//rc/clk?jk=d6047ee4db5e764f&fccid=750d792cf813d448&vjs=3
Sr Devops Engineer의 전체 세부 정보,HERE Technologies,서울,https://kr.indeed.com//rc/clk?jk=6d3401fa381fdb66&fccid=1a8dd67b37dcdef8&vjs=3
디지털채널[경력]의 전체 세부 정보,현대자동차그룹,서울 강남구,https://kr.indeed.com//rc/clk?jk=98fd8520eb7eec8c&fccid=980d6ecc399a3373&vjs=3
상시지원 (Software Engineer)의 전체 세부 정보,Riiid Labs,서울,https://kr.indeed.com//rc/clk?jk=d6d827bd48a88195&fccid=933989f3b0ffe928&vjs=3
[성수동] Node.js Devops 개발자의 전체 세부 정보,시니어앤파트너즈,서울 성동구,https://kr.indeed.com//rc/clk?jk=481a92206326458a&fccid=59060ddcdf96b101&vjs=3
이카운트 상반기 신입 개발자 대규모의 전체 세부 정보,이카운트,서울 구로구,https://kr.indeed.com//rc/clk?jk=fa177d469ceb1a52&fccid=521a067ccbac991d&vjs=3
Consulting Director Korea의 전체 세부 정보,LinkedIn Job Wrapping,서울,https://kr.indeed.com//rc/clk?jk=c893a35b8f724434&fccid=a89c98099999a09c&vjs=3
DevOps / Test Ops Engineer (초음파 의료 영상 분야)의 전체 세부 정보,Siemens Healthineers,경기도 성남,https://kr.indeed.com//rc/clk?jk=525aaa7db4543661&fccid=c5679bf29a1db253&vjs=3
[메가존클라우드] Azure DevOps의 전체 세부 정보,메가존클라우드,서울 강남구,https://kr.indeed.com//rc/clk?jk=3fb08984b2723054&fccid=6a6680544124a441&vjs=3
백엔드 개발자 (경력)의 전체 세부 정보,모아이스,서울 서초구,https://kr.indeed.com//rc/clk?jk=5c82b7c503b4bc62&fccid=03d0e1ecdd9cac1b&vjs=3
DevOps 개발자(Back-End/Front-End) 영입의 전체 세부 정보,베스핀글로벌,서울 서초구,https://kr.indeed.com//rc/clk?jk=0b684aa0898f5285&fccid=d2a2cb2dc4e9a38f&vjs=3
[위메프서비스] 빅데이터 처리 및 분석 개발자의 전체 세부 정보,위메프,대한민국,https://kr.indeed.com//rc/clk?jk=4e3b4e13098d5aa1&fccid=2f8799a5ef214646&vjs=3
개발자(프론트엔드/백엔드) 정규직 신입/경력자를 모십니다.의 전체 세부 정보,아토즈소프트 관심기업,서울 성수동2가,https://kr.indeed.com//rc/clk?jk=c6846f4abf3d57cb&fccid=3401aed56a2304e2&vjs=3
[DTC 플랫폼] Backend Developer의 전체 세부 정보,한화그룹,서울,https://kr.indeed.com//rc/clk?jk=8a0d2e089e4fdfdb&fccid=bd0dc1817223394f&vjs=3
DevOps Engineer (Robotics)의 전체 세부 정보,뉴빌리티,서울 서초구,https://kr.indeed.com//rc/clk?jk=54b6b808e6d8964f&fccid=1cb18707752a948e&vjs=3
DevOps Engineer의 전체 세부 정보,에이피더핀,서울 강남구,https://kr.indeed.com//rc/clk?jk=8b0e7ed8f5151a6a&fccid=5ae606ec2579b53a&vjs=3
[메가존클라우드] DevOps Architect / Engineer의 전체 세부 정보,메가존클라우드,서울 강남구,https://kr.indeed.com//rc/clk?jk=1fb64bdae474ec3f&fccid=6a6680544124a441&vjs=3
웹기반 금융 플랫폼 개발 팀장님의 전체 세부 정보,핀투비,서울 여의도,https://kr.indeed.com//rc/clk?jk=14905eb509bf91e2&fccid=1637bdd8f03e93aa&vjs=3
[기획부문] 사업관리 외 6건[경력]의 전체 세부 정보,현대자동차그룹,대한민국,https://kr.indeed.com//rc/clk?jk=3a28fd75f569b995&fccid=980d6ecc399a3373&vjs=3
DevOps Engineer의 전체 세부 정보,Prive Technologies,서울,https://kr.indeed.com//rc/clk?jk=73da420e5f99c59e&fccid=bf2938bba29e89ae&vjs=3
DevOps 엔지니어의 전체 세부 정보,토기,서울 영등포구,https://kr.indeed.com//rc/clk?jk=0e0231bdde365cf1&fccid=8160c65051449e0a&vjs=3
데이터 서비스/플랫폼 개발의 전체 세부 정보,NHN,성남 판교역,https://kr.indeed.com//rc/clk?jk=031eec3794f09645&fccid=cc378bd7bc831eca&vjs=3
인재풀 등록 (Tech)의 전체 세부 정보,뱅크샐러드,서울 영등포구,https://kr.indeed.com//rc/clk?jk=a62b457553ce1dea&fccid=35209469e1b8c72c&vjs=3
[DTC 플랫폼] Markup Developer의 전체 세부 정보,한화그룹,서울,https://kr.indeed.com//rc/clk?jk=32447bf7c86d9851&fccid=bd0dc1817223394f&vjs=3
[DTC 플랫폼] UX/UI 디자이너 경력채용의 전체 세부 정보,한화그룹,서울,https://kr.indeed.com//rc/clk?jk=85df427e178b3a54&fccid=bd0dc1817223394f&vjs=3
[메가존클라우드] Cloud Application Architect의 전체 세부 정보,메가존클라우드,서울 강남구,https://kr.indeed.com//rc/clk?jk=97f93da55f94932f&fccid=6a6680544124a441&vjs=3
UI/UX Designer for MBUX Infotainment Systems의 전체 세부 정보,Mercedes-Benz Korea Limited,서울,https://kr.indeed.com//rc/clk?jk=92afef4425d6988d&fccid=b25343f021fb51d7&vjs=3
DevOps Engineer의 전체 세부 정보,트릿지,서울 서초구,https://kr.indeed.com//rc/clk?jk=4a2f90d3628f14a6&fccid=3de9f8561145bb08&vjs=3
Devops 엔지니어 경력 / 대기업의 전체 세부 정보,베로스컨설팅그룹,서울,https://kr.indeed.com//rc/clk?jk=5aa3607499711dde&fccid=fd5af4314245509f&vjs=3
CTO(최고기술책임자) 경력의 전체 세부 정보,핑퐁,서울 종로구,https://kr.indeed.com//rc/clk?jk=2a40453f3682b3ab&fccid=0a12a7b0211de47b&vjs=3
[메가존클라우드] K8s Infra Architect (신입)의 전체 세부 정보,메가존클라우드,서울 강남구,https://kr.indeed.com//rc/clk?jk=eb6c5a4b08124afe&fccid=6a6680544124a441&vjs=3
Junior Backend Engineer의 전체 세부 정보,트릿지,서울 서초구,https://kr.indeed.com//rc/clk?jk=48abffb7960b29fe&fccid=3de9f8561145bb08&vjs=3
3월 Frontend 개발 분야 모집의 전체 세부 정보,11번가,서울 남대문로5가,https://kr.indeed.com//rc/clk?jk=f69f5c1baa71d838&fccid=aba8aade58c00c02&vjs=3
DevOps Engineer(유관경력 10-13년 내외)  리딩 뷰티 기업의 전체 세부 정보,코어포인트,서울 용산구,https://kr.indeed.com//rc/clk?jk=559e3e86fa28d46b&fccid=a71819ff34fb2d90&vjs=3
백엔드 개발자의 전체 세부 정보,커넥트핏,서울 영등포구,https://kr.indeed.com//rc/clk?jk=ec91ee91970f7262&fccid=12e92dd62192b8db&vjs=3
[메가존클라우드] DevOps Consultant (신입)의 전체 세부 정보,메가존클라우드,서울 강남구,https://kr.indeed.com//rc/clk?jk=de824859a90fc17b&fccid=6a6680544124a441&vjs=3
PMO 담당자의 전체 세부 정보,안랩,성남 분당구,https://kr.indeed.com//rc/clk?jk=748cd6abc9e860fb&fccid=0b88b2af6686dd2b&vjs=3
Deputy IT Manager의 전체 세부 정보,ZEISS Group,서울,https://kr.indeed.com//rc/clk?jk=29b26a1b2e3d89ce&fccid=47148e4eb4f2966b&vjs=3
Senior Open Source Developer & DevOps (Python  Django  React  AWS/OpenStack),OpenCraft,Anywhere in the World,https://weworkremotely.com/remote-jobs/opencraft-senior-open-source-developer-devops-python-django-react-aws-openstack
Mentor - Cyber Security Career Track (Part-time/Remote),Springboard,Anywhere in the World,https://weworkremotely.com/remote-jobs/springboard-mentor-cyber-security-career-track-part-time-remote-2
Remote DevOps & Platform Developer for AR/VR Company,ArborXR,USA Only,https://weworkremotely.com/remote-jobs/arborxr-remote-devops-platform-developer-for-ar-vr-company-1
Senior Infrastructure Engineer,IVPN,Anywhere in the World,https://weworkremotely.com/remote-jobs/ivpn-senior-infrastructure-engineer
Senior DevOps Engineer,Proxify AB,Anywhere in the World,https://weworkremotely.com/remote-jobs/proxify-ab-senior-devops-engineer
DevOps Engineer,SportyBet,Anywhere in the World,https://weworkremotely.com/remote-jobs/sportybet-devops-engineer
Database Reliability Engineer,Toggl,Anywhere in the World,https://weworkremotely.com/remote-jobs/toggl-database-reliability-engineer-1
Software Engineer (C++),Sticker Mule,Anywhere in the World,https://weworkremotely.com/remote-jobs/sticker-mule-software-engineer-c
Database Administrator at 114th Most Visited Site,Chess.com,Anywhere in the World,https://weworkremotely.com/remote-jobs/chess-com-database-administrator-at-114th-most-visited-site
Technical Lead,Fearless,USA Only,https://weworkremotely.com/remote-jobs/fearless-technical-lead
DevOps Engineer,Oddball,USA Only,https://weworkremotely.com/remote-jobs/oddball-devops-engineer-4
 DevOps Engineer | SaaS scale up (AWS  Docker  Terraform  Kubernetes),Ecochain Technologies,Europe Only,https://weworkremotely.com/remote-jobs/ecochain-technologies-devops-engineer-saas-scale-up-aws-docker-terraform-kubernetes
Senior DevOps Engineer: Full-time (4-day work week) ,Kenhub GmbH,EMEA Only,https://weworkremotely.com/remote-jobs/kenhub-gmbh-senior-devops-engineer-full-time-4-day-work-week
DevOps Engineer - Americas ,amazee.io,Americas Only,https://weworkremotely.com/remote-jobs/amazee-io-devops-engineer-americas
Prompt Engineer (Remote),Aldrin,Anywhere in the World,https://weworkremotely.com/remote-jobs/aldrin-prompt-engineer-remote
Operations Engineer ( SaaS / Remote ),Publitas.com,Anywhere in the World,https://weworkremotely.com/remote-jobs/publitas-com-operations-engineer-saas-remote-1
Platform Engineer - Europe,Skedda,Europe Only,https://weworkremotely.com/remote-jobs/skedda-platform-engineer-europe
Site Reliability/Platform Engineer,Vero,Europe Only,https://weworkremotely.com/remote-jobs/vero-site-reliability-platform-engineer
